label,text
Marriage and family,My husband beats me regularly. What can I do?
Marriage and family,My wife wants a divorce. What are my options?
Marriage and family,My husband is not giving me maintenance after separation.
Marriage and family,I want to file for mutual consent divorce.
Marriage and family,My in-laws are harassing me for dowry.
Marriage and family,I want custody of my child after separation.
Marriage and family,My husband is having an affair. What can I do?
Marriage and family,We are unmarried partners and want to know our legal rights.
Marriage and family,My spouse is abusive and I want to know my legal options.
Marriage and family,How do I file for divorce in a contested case?
Marriage and family,My husband won't let me meet our children after separation.
Marriage and family,Can I get maintenance if I am not yet divorced?
Labour dispute,My employer made me resign forcefully.
Labour dispute,My boss is not paying my salary.
Labour dispute,I am being forced to work overtime and weekends without extra payment.
Labour dispute,I was fired without any notice or reason.
Labour dispute,My employer is not giving me my final settlement after resignation.
Labour dispute,I am facing sexual harassment at my workplace.
Labour dispute,My company is not depositing my provident fund (PF) contributions.
Labour dispute,I was denied maternity leave by my employer.
Labour dispute,My manager is making me work extra hours with no overtime pay.
Labour dispute,I was terminated from my job with no severance.
Labour dispute,My company hasn't paid my dues since I resigned.
Labour dispute,I'm being harassed by a coworker and HR isn't acting.
Traffic accident,My bike was hit by a car. What should I do?
Traffic accident,I was injured in a road accident caused by another driver.
Traffic accident,My car was damaged in a hit-and-run accident.
Traffic accident,The other driver is refusing to pay for accident damages.
Traffic accident,How do I claim insurance after a road accident?
Traffic accident,I received a traffic challan I believe is unfair.
Traffic accident,Someone died in an accident I was involved in. What are my legal risks?
Traffic accident,My insurance company is denying my accident claim.
Traffic accident,A truck hit my car from behind at a signal.
Traffic accident,I got into an accident and the other party is refusing to settle.
Traffic accident,My vehicle insurance claim was rejected after a crash.
Traffic accident,I was booked for a traffic violation I didn't commit.
Debt dispute,My friend refuses to return borrowed money.
Debt dispute,A company is not refunding money I paid in advance.
Debt dispute,I am being harassed by loan recovery agents.
Debt dispute,Someone issued me a cheque that bounced.
Debt dispute,I can't repay my personal loan and the bank is threatening legal action.
Debt dispute,My business partner owes me money and won't pay.
Debt dispute,I lent money without any written agreement. Can I still recover it?
Debt dispute,I'm being asked to pay a debt that isn't mine.
Debt dispute,I gave someone a personal loan and they stopped responding.
Debt dispute,A collection agency keeps calling me about a debt I already paid.
Debt dispute,My cheque bounced and now I'm being threatened with legal action.
Debt dispute,A vendor hasn't paid an invoice for months.
Criminal defence,Someone filed a false FIR against me.
Criminal defence,I have been falsely accused of theft.
Criminal defence,Police are threatening to arrest me without a warrant.
Criminal defence,I was arrested and don't know my rights.
Criminal defence,I need to apply for bail. What is the process?
Criminal defence,Someone is threatening to file a false case against me.
Criminal defence,I was assaulted by someone. What legal action can I take?
Criminal defence,I received a police summons. What should I do?
Criminal defence,I'm being falsely implicated in a criminal case.
Criminal defence,The police called me in for questioning about a crime I didn't commit.
Criminal defence,I need help understanding the charges filed against me.
Criminal defence,I was detained by police and don't know what happens next.
Property dispute,Someone has occupied my land illegally.
Property dispute,My neighbour is threatening me over a property boundary dispute.
Property dispute,My siblings are refusing to give me my share of ancestral property.
Property dispute,A builder is delaying possession of my flat.
Property dispute,My tenant is refusing to vacate the property.
Property dispute,Someone forged documents to sell my property.
Property dispute,I want to challenge a will that excluded me unfairly.
Property dispute,My property was sold without my consent by a family member.
Property dispute,My cousin is claiming rights over property that belongs to me.
Property dispute,A construction company built on part of my plot without permission.
Property dispute,There's a dispute over inherited land between family members.
Property dispute,My tenant stopped paying rent and won't leave.
Consumer complaint,I bought a defective phone.
Consumer complaint,An online store refuses to refund a cancelled order.
Consumer complaint,I was overcharged by a service provider.
Consumer complaint,A builder delivered a flat with major construction defects.
Consumer complaint,I was sold a fake or counterfeit product.
Consumer complaint,An airline cancelled my flight and won't refund me.
Consumer complaint,A gym or club is not honoring my membership refund.
Consumer complaint,I was misled by false advertising into buying a product.
Consumer complaint,A company sold me a product that doesn't work as advertised.
Consumer complaint,I paid for a service that was never delivered.
Consumer complaint,An e-commerce site is ignoring my return request.
Consumer complaint,I was charged hidden fees I never agreed to.
Cybercrime,Someone hacked my social media account.
Cybercrime,I lost money in an online banking fraud.
Cybercrime,Someone is blackmailing me with my private photos.
Cybercrime,I received a phishing message and lost money.
Cybercrime,Someone created a fake profile impersonating me online.
Cybercrime,I am being cyberstalked by someone online.
Cybercrime,My identity was used to open a fraudulent online account.
Cybercrime,I received threatening messages on WhatsApp or social media.
Cybercrime,My email account was compromised and used for fraud.
Cybercrime,Someone is threatening me online and demanding money.
Cybercrime,I clicked a suspicious link and my bank account was emptied.
Cybercrime,A scammer used my photos to create a fake dating profile.
Medical negligence,The doctor gave the wrong treatment.
Medical negligence,A hospital refused emergency treatment to a patient.
Medical negligence,I suffered complications due to a botched surgery.
Medical negligence,A clinic overcharged me for unnecessary tests.
Medical negligence,My newborn suffered injury due to hospital negligence.
Medical negligence,A pharmacist gave me the wrong medicine.
Medical negligence,I was not informed about risks before a medical procedure.
Medical negligence,A hospital is withholding my medical records.
Medical negligence,I was given the wrong medication dosage at a hospital.
Medical negligence,A surgeon operated on the wrong body part.
Medical negligence,My relative died due to what seems like hospital negligence.
Medical negligence,A lab gave me an incorrect test result that affected my treatment.
Housing / tenancy,My landlord is refusing to return my security deposit.
Housing / tenancy,My landlord is trying to evict me without notice.
Housing / tenancy,My landlord won't do necessary repairs in the rented house.
Housing / tenancy,I want to break my rental lease early.
Housing / tenancy,My landlord is charging rent higher than what's in the agreement.
Housing / tenancy,My landlord is entering my rented home without permission.
Housing / tenancy,I'm being asked to vacate my rented home immediately.
Housing / tenancy,My housing society is not addressing maintenance issues.
Housing / tenancy,My landlord keeps increasing rent without notice.
Housing / tenancy,I was locked out of my rented apartment by the landlord.
Housing / tenancy,The rental agreement has unfair clauses I didn't notice.
Housing / tenancy,My roommate broke the lease and I'm stuck with the deposit issue.
Education dispute,My college is not giving me my certificates.
Education dispute,A school is refusing to refund my child's fees after withdrawal.
Education dispute,I was expelled from college without a fair hearing.
Education dispute,My university is delaying issuing my degree or marksheet.
Education dispute,A coaching institute is refusing to refund fees.
Education dispute,I faced ragging or harassment in my college.
Education dispute,My child was denied school admission unfairly.
Education dispute,I was falsely accused of exam malpractice.
Education dispute,My scholarship was cancelled without explanation.
Education dispute,The school is not addressing bullying against my child.
Education dispute,I was wrongly marked absent and it's affecting my grades.
Education dispute,The university won't let me transfer my credits.
Marriage and family,my husband beats me what should i do
Marriage and family,wife wants divorce what are my options
Marriage and family,husband not paying maintenance after we separated
Marriage and family,how to file mutual consent divorce
Marriage and family,in laws harassing me for dowry money
Marriage and family,want custody of my kids after separation
Marriage and family,husband cheating on me what can i do
Marriage and family,we live together unmarried what are our rights
Marriage and family,my husband abandoned me and my kids
Marriage and family,need a protection order from domestic violence
Marriage and family,is my marriage valid if not registered
Marriage and family,ex wont let me meet my children
Marriage and family,how do i adopt a child legally
Marriage and family,in laws forcing me out of the house
Marriage and family,my wife left me and took the kids
Marriage and family,can i get alimony from my husband
Marriage and family,husband threatens me when he drinks
Marriage and family,want to divorce my husband mutually
Labour dispute,boss fired me with no notice
Labour dispute,company not paying my salary on time
Labour dispute,forced to work overtime with no extra pay
Labour dispute,denied maternity leave by my company
Labour dispute,employer not giving final settlement
Labour dispute,facing harassment at my workplace
Labour dispute,company not depositing my pf
Labour dispute,no written contract from my employer
Labour dispute,getting paid below minimum wage
Labour dispute,got demoted with no explanation
Labour dispute,fired during probation unfairly
Labour dispute,hurt at work and employer wont help
Labour dispute,company wont give my relieving letter
Labour dispute,boss made me resign against my will
Labour dispute,my manager is forcing me to quit
Labour dispute,not getting paid for weekend shifts
Labour dispute,terminated without any reason given
Labour dispute,workplace is not safe and i got injured
Traffic accident,bike hit by a car what do i do
Traffic accident,injured in road accident by another driver
Traffic accident,car damaged in hit and run
Traffic accident,other driver wont pay for damages
Traffic accident,how to claim insurance after accident
Traffic accident,got an unfair traffic challan
Traffic accident,someone died in accident i was in
Traffic accident,insurance company denying my accident claim
Traffic accident,hit a pedestrian while driving
Traffic accident,license suspended after accident
Traffic accident,other party wont file police report
Traffic accident,my car got towed after accident
Traffic accident,injured as a passenger in accident
Traffic accident,traffic police gave me wrong challan
Traffic accident,got in an accident on my bike
Traffic accident,car accident and other driver fled
Traffic accident,who pays for damage in a car crash
Debt dispute,friend wont return money i lent him
Debt dispute,company not refunding advance payment
Debt dispute,loan recovery agents harassing me
Debt dispute,cheque bounced that someone gave me
Debt dispute,cant repay loan bank threatening legal action
Debt dispute,business partner owes me money
Debt dispute,lent money with no agreement can i recover it
Debt dispute,being asked to pay debt that isnt mine
Debt dispute,co signed loan and person stopped paying
Debt dispute,company wont return my deposit
Debt dispute,being sued for debt already paid
Debt dispute,credit card charged for transactions i didnt make
Debt dispute,want to recover money from someone abroad
Debt dispute,moneylender charging illegal interest
Debt dispute,someone borrowed money and wont pay back
Debt dispute,getting threatening calls about a loan
Criminal defence,someone filed false fir against me
Criminal defence,falsely accused of theft
Criminal defence,police threatening to arrest me no warrant
Criminal defence,arrested and dont know my rights
Criminal defence,how to apply for bail
Criminal defence,someone threatening to file false case
Criminal defence,assaulted by someone what can i do
Criminal defence,got a police summons what now
Criminal defence,being investigated for crime i didnt do
Criminal defence,phone seized by police no warrant
Criminal defence,asked to testify as a witness
Criminal defence,case dismissed but still on my record
Criminal defence,notice to appear in court but im away
Criminal defence,police pressuring me to confess
Criminal defence,cops trying to arrest me without proof
Criminal defence,i got falsely accused of a crime
Criminal defence,need bail help urgently
Property dispute,someone occupied my land illegally
Property dispute,neighbor threatening me over property boundary
Property dispute,siblings wont give my share of property
Property dispute,builder delaying possession of my flat
Property dispute,tenant refusing to vacate my property
Property dispute,someone forged documents to sell my property
Property dispute,want to challenge a will that excluded me
Property dispute,property sold without my consent
Property dispute,co owner wants to sell but i disagree
Property dispute,want to partition ancestral property
Property dispute,property tax has wrong owner name
Property dispute,contractor did bad construction work
Property dispute,my rented property is being sold
Property dispute,someone using fake will to claim my property
Property dispute,neighbor encroaching on my land
Property dispute,brother trying to sell our fathers house
Consumer complaint,bought a defective phone
Consumer complaint,online store wont refund cancelled order
Consumer complaint,overcharged by a service provider
Consumer complaint,builder delivered flat with construction defects
Consumer complaint,sold a fake product
Consumer complaint,airline cancelled flight wont refund
Consumer complaint,gym wont refund my membership
Consumer complaint,misled by false advertising
Consumer complaint,ecommerce site sent wrong product
Consumer complaint,warranty claim rejected for no reason
Consumer complaint,charged hidden fees not disclosed
Consumer complaint,real estate agent lied about the property
Consumer complaint,insurance claim rejected on a technicality
Consumer complaint,subscription charging me after i cancelled
Consumer complaint,store wont give refund for bad product
Consumer complaint,company sold me a broken item
Cybercrime,someone hacked my social media
Cybercrime,lost money in online banking fraud
Cybercrime,being blackmailed with my photos
Cybercrime,got a phishing message lost money
Cybercrime,someone made fake profile of me
Cybercrime,being cyberstalked online
Cybercrime,identity used to open fake account
Cybercrime,getting threatening messages on whatsapp
Cybercrime,someone threatening to leak my data
Cybercrime,email hacked and used to scam people
Cybercrime,lost money to otp fraud call
Cybercrime,someone spreading lies about me online
Cybercrime,company data got breached and leaked
Cybercrime,got scammed buying something online
Cybercrime,my instagram got hacked
Cybercrime,someone is blackmailing me online
Medical negligence,doctor gave me wrong treatment
Medical negligence,hospital refused emergency treatment
Medical negligence,complications from a botched surgery
Medical negligence,clinic overcharged me for tests
Medical negligence,newborn injured due to hospital negligence
Medical negligence,pharmacist gave me wrong medicine
Medical negligence,not informed about risks before procedure
Medical negligence,hospital withholding my medical records
Medical negligence,wrong diagnosis led to bad treatment
Medical negligence,foreign object left in my body after surgery
Medical negligence,dental procedure damaged my teeth
Medical negligence,given wrong blood type during transfusion
Medical negligence,discharged too early and got worse
Medical negligence,child misdiagnosed by pediatrician
Medical negligence,doctor operated on wrong body part
Medical negligence,surgery went wrong and caused harm
Housing / tenancy,landlord wont return my deposit
Housing / tenancy,landlord trying to evict me no notice
Housing / tenancy,landlord wont fix things in my house
Housing / tenancy,want to break my lease early
Housing / tenancy,landlord charging more rent than agreed
Housing / tenancy,landlord entering my house without permission
Housing / tenancy,asked to vacate immediately
Housing / tenancy,society not fixing maintenance issues
Housing / tenancy,landlord raising rent mid lease illegally
Housing / tenancy,no written agreement what are my rights
Housing / tenancy,landlord keeping my stuff after i moved out
Housing / tenancy,landlord wont give me the keys
Housing / tenancy,roommate not paying their share of rent
Housing / tenancy,landlord cut my water to force me out
Housing / tenancy,landlord not returning my security deposit
Housing / tenancy,being evicted with no proper notice
Education dispute,college wont give me my certificates
Education dispute,school wont refund fees after withdrawal
Education dispute,expelled from college unfairly
Education dispute,university delaying my degree
Education dispute,coaching institute wont refund fees
Education dispute,faced ragging in college
Education dispute,child denied school admission unfairly
Education dispute,falsely accused of exam cheating
Education dispute,scholarship withdrawn with no explanation
Education dispute,school wont give transfer certificate
Education dispute,exam results withheld over fee dispute
Education dispute,teacher discriminating against my child
Education dispute,university not helping with my disability
Education dispute,overcharged fees not in the offer letter
Education dispute,got expelled without a fair hearing
Education dispute,college withholding my marksheet
Marriage and family,My spouse abandoned me and the children without any support.
Marriage and family,I am facing domestic violence and want a protection order.
Marriage and family,My marriage was never registered. Is it still legally valid?
Marriage and family,My ex-spouse is not letting me see our children.
Marriage and family,I want to adopt a child. What is the legal process?
Marriage and family,My in-laws are pressuring me to leave the shared household.
Labour dispute,I was asked to work without a written employment contract.
Labour dispute,My employer is not paying minimum wage.
Labour dispute,I was demoted without any explanation.
Labour dispute,My contract was terminated during my probation period unfairly.
Labour dispute,I was injured at my workplace and my employer refuses to help.
Labour dispute,My employer is not issuing my relieving letter or experience certificate.
Traffic accident,I hit a pedestrian while driving and they were injured.
Traffic accident,My driving license was suspended after an accident.
Traffic accident,I was in an accident and the other party is refusing to file a police report.
Traffic accident,My vehicle was towed and impounded after an accident.
Traffic accident,I was a passenger and got injured in a road accident.
Traffic accident,The traffic police issued me a challan for something I didn't do.
Debt dispute,I co-signed a loan for someone and now they've stopped paying.
Debt dispute,A company is refusing to return my security deposit for a service.
Debt dispute,I am being sued for a debt I already paid off.
Debt dispute,My credit card company is charging me for transactions I didn't make.
Debt dispute,I want to recover money from someone who moved abroad.
Debt dispute,A moneylender is charging me an illegally high interest rate.
Criminal defence,I am being investigated for a crime I did not commit.
Criminal defence,My phone was seized by the police without a warrant.
Criminal defence,I witnessed a crime and am being asked to testify. What are my rights?
Criminal defence,My case was dismissed but it's still showing on my record.
Criminal defence,I received a notice to appear in court but I'm out of town.
Criminal defence,The police are pressuring me to confess to something I didn't do.
Property dispute,My co-owner wants to sell the property but I don't agree.
Property dispute,I want to know if I can legally partition ancestral property.
Property dispute,My property tax records show the wrong owner name.
Property dispute,A contractor did substandard construction work on my property.
Property dispute,I want to know my rights if my rented property is being sold.
Property dispute,Someone is claiming ownership of my property using a fake will.
Consumer complaint,An e-commerce site sent me the wrong product and won't exchange it.
Consumer complaint,A warranty claim for my appliance was rejected without valid reason.
Consumer complaint,I was charged hidden fees that weren't disclosed at purchase.
Consumer complaint,A real estate agent misrepresented facts about a property I bought.
Consumer complaint,My insurance claim was rejected citing a technicality.
Consumer complaint,A subscription service is charging me after I cancelled.
Cybercrime,Someone is threatening to leak my personal data unless I pay them.
Cybercrime,My email account was hacked and used to scam my contacts.
Cybercrime,I received an OTP fraud call and lost money from my account.
Cybercrime,Someone is spreading false information about me online.
Cybercrime,My company's data was breached and customer information was leaked.
Cybercrime,I was scammed while trying to buy something on a classifieds website.
Medical negligence,A wrong diagnosis led to unnecessary treatment for me.
Medical negligence,My surgery left a foreign object inside my body.
Medical negligence,A dental procedure caused permanent damage to my teeth or gums.
Medical negligence,I was given the wrong blood type during a transfusion.
Medical negligence,A hospital discharged me too early and my condition worsened.
Medical negligence,"My child was misdiagnosed by a pediatrician, delaying proper treatment."
Housing / tenancy,"My landlord wants to increase rent mid-lease, which isn't allowed by the agreement."
Housing / tenancy,I want to know my rights as a tenant if there's no written agreement.
Housing / tenancy,My landlord is withholding my belongings after I moved out.
Housing / tenancy,I signed a lease but the landlord is now refusing to hand over the keys.
Housing / tenancy,My roommate/co-tenant is not paying their share of the rent.
Housing / tenancy,My landlord shut off water or electricity to force me out.
Education dispute,My scholarship was withdrawn without proper explanation.
Education dispute,I was denied a transfer certificate by my previous school.
Education dispute,My exam results were withheld over a fee dispute.
Education dispute,A teacher is discriminating against my child at school.
Education dispute,My university is not accommodating my documented disability.
Education dispute,I was overcharged fees not mentioned in the original admission offer.
